,Pressure_Sensor_1,Pressure_Sensor_2,Pressure_Sensor_3,Flow_Rate_1,Flow_Rate_2,Flow_Rate_3,Pipe_Diameter,Leak_Label
01-01-2022 00:00,57.05933615,43.00811192,42.89664251,176.1692425,168.4591905,159.3724531,12,0
01-01-2022 01:00,50.52234695,49.52008371,53.38364256,138.6927418,161.3670507,170.6765297,12,0
01-01-2022 02:00,50.7382438,59.25762027,55.12226258,165.6291681,125.3673048,100.6593211,12,0
01-01-2022 03:00,59.66560455,58.73048328,47.72841319,125.0586073,188.8517522,152.1898262,8,0
01-01-2022 04:00,43.87166695,49.3620388,59.40958055,153.8931023,183.8032761,121.5853048,8,0
01-01-2022 05:00,48.23119323,57.48381164,58.60502597,194.3376085,154.1442185,195.9951329,12,0
01-01-2022 06:00,48.3069492,54.95736849,50.63195942,177.3262963,164.0141823,144.2056473,8,0
01-01-2022 07:00,50.88980019,43.60499378,41.80486609,151.9776453,108.8217899,176.3262346,10,0
01-01-2022 08:00,52.45196231,50.2678369,43.34371645,123.6797887,144.9782767,151.2092138,8,0
01-01-2022 09:00,53.02265709,41.61048637,47.60639349,101.8360872,182.9114213,180.5040466,8,1
01-01-2022 10:00,52.72033122,46.96421175,44.27556606,111.2597629,101.9350721,134.9150069,8,0
01-01-2022 11:00,56.72969711,42.72763521,41.49989396,169.5970148,193.0981563,102.7518551,8,0
01-01-2022 12:00,52.01573466,46.06046197,59.06007268,166.4077275,168.8429793,185.05564,10,0
01-01-2022 13:00,49.57993092,50.69077023,44.68051205,113.4142247,115.2696887,119.1544038,10,0
01-01-2022 14:00,45.67433851,54.62422266,55.6244009,143.39896,115.5919889,107.1633156,12,0
01-01-2022 15:00,53.80165618,47.05169651,48.43440583,114.8049625,180.0974172,148.5545761,10,1
01-01-2022 16:00,48.06248593,46.3710504,44.30416679,141.2944384,155.2585159,123.7654861,8,0
01-01-2022 17:00,51.00798666,40.05177618,49.81354433,174.1536123,165.1022134,108.9231824,10,0
01-01-2022 18:00,43.92167263,57.60491413,59.05937242,119.2147993,171.6450469,169.7182794,8,0
01-01-2022 19:00,45.87882185,57.75591857,49.88941609,140.0028467,190.0528744,186.3320842,8,0
01-01-2022 20:00,54.34130885,50.91363656,52.48979513,158.5638675,118.3599392,123.8565547,8,0
01-01-2022 21:00,51.51160288,42.67836921,51.53655899,172.4156178,140.3074904,144.5654207,12,0
01-01-2022 22:00,57.26602649,44.12367078,44.20072031,137.2351227,148.2592725,192.8863258,12,0
01-01-2022 23:00,54.78016076,42.18030696,52.80035759,106.2076691,109.7647126,101.2798006,8,0
02-01-2022 00:00,48.598962,45.84574096,50.25788025,104.1952623,159.3257727,139.8492755,8,0
02-01-2022 01:00,59.77916404,51.49363162,55.58567091,147.3492627,141.6345107,167.0486027,8,0
02-01-2022 02:00,47.41242715,45.70018319,46.03126086,181.883943,108.7691476,187.5902959,10,0
02-01-2022 03:00,45.43110776,50.7224515,40.58641307,109.7435876,191.0871281,172.4400227,12,0
02-01-2022 04:00,57.39933393,41.14518311,50.73011421,127.0422483,111.715925,102.8544467,12,0
02-01-2022 05:00,41.95111936,50.49680718,51.58713819,108.362831,126.6395886,198.0815328,8,0
02-01-2022 06:00,51.62721227,44.04162991,54.3015818,125.1553853,133.821702,195.460504,12,0
02-01-2022 07:00,57.97672128,40.17698515,50.96571312,186.9611847,128.1114688,151.2800905,10,0
02-01-2022 08:00,54.69864184,59.27895125,42.14158682,130.3804053,199.6223725,121.375523,10,0
02-01-2022 09:00,55.82608316,43.47886775,44.94948598,173.0579091,131.8092749,121.0894142,10,0
02-01-2022 10:00,48.18964615,47.67769361,56.44888414,107.9092568,180.4667566,140.9772503,8,0
02-01-2022 11:00,46.27011199,40.29083951,55.36995377,107.8281564,103.47594,149.7291975,12,1
02-01-2022 12:00,51.2471858,54.78275369,50.1419628,163.7462542,171.3810362,193.1758878,8,0
02-01-2022 13:00,44.18853635,49.9987675,55.16123822,161.4371378,118.2482782,167.8216856,12,0
02-01-2022 14:00,58.6631298,49.72728489,42.73344976,123.2248007,167.8310508,132.2920095,10,0
02-01-2022 15:00,55.4973433,49.00570808,53.05880581,186.5033152,107.8653575,153.7343469,12,0
02-01-2022 16:00,54.32255541,58.04698843,43.32245723,148.5517022,146.0351098,139.4348058,10,0
02-01-2022 17:00,51.05075088,45.17815917,55.96285648,112.7674983,104.7575468,113.669086,12,0
02-01-2022 18:00,45.8540352,52.61812317,52.05044172,136.5310865,118.7508451,135.6365932,12,0
02-01-2022 19:00,54.75174627,58.67192729,58.25704199,172.6840731,193.5159957,157.443306,12,0
02-01-2022 20:00,42.87236618,59.06493615,56.81583133,168.5293832,118.3325554,112.1356923,12,0
02-01-2022 21:00,53.12413573,56.51312432,52.26479303,165.5290022,122.0012753,184.9568698,10,0
02-01-2022 22:00,40.05470445,47.83569082,47.39214506,153.2701974,137.8794547,167.3159192,10,0
02-01-2022 23:00,43.76812318,58.88091113,47.69683504,163.1813701,194.8715512,132.4733151,12,0
03-01-2022 00:00,55.42672629,52.54442073,49.32875201,186.1812528,132.8870167,187.4844038,8,0
03-01-2022 01:00,40.86934142,54.77716027,55.15811267,111.0704773,156.6239725,125.1458365,12,0
03-01-2022 02:00,54.91383887,56.93877672,46.5890643,181.6261784,191.026113,138.5330096,10,0
03-01-2022 03:00,46.42360255,43.27041074,56.329417,170.348392,174.2779835,190.8670703,12,0
03-01-2022 04:00,54.06286389,48.50790772,46.78463766,153.7250038,149.916265,139.5897967,8,0
03-01-2022 05:00,51.70602452,43.27858919,42.70231282,125.5548573,168.0748343,118.1073989,12,1
03-01-2022 06:00,49.98102782,48.27096832,45.85702051,124.2783787,106.4167291,112.4618246,8,0
03-01-2022 07:00,58.16567887,51.20550173,46.9928575,190.4258143,121.7607783,177.0504537,10,0
03-01-2022 08:00,55.98602772,45.60158206,57.02944678,125.7698073,155.0842857,195.3096555,8,0
03-01-2022 09:00,58.39008435,57.67096389,48.9472763,196.1999637,186.1102091,103.6330331,8,0
03-01-2022 10:00,49.33354639,51.46740578,42.05241851,133.861547,126.0448079,133.0267884,12,0
03-01-2022 11:00,55.32550709,56.69053869,54.01289027,128.8063643,156.6455707,121.4002229,8,0
03-01-2022 12:00,59.95074415,58.80443308,52.89865001,195.9352535,109.4198038,131.1737646,10,0
03-01-2022 13:00,51.60764227,57.08702405,45.57492415,180.5477281,151.5237178,163.5990622,10,0
03-01-2022 14:00,43.03827731,58.50791382,41.23312283,165.3527388,158.532978,159.1156768,10,0
03-01-2022 15:00,55.83604117,49.25818567,42.31610526,133.4928865,130.2846757,169.622905,8,0
03-01-2022 16:00,47.5085829,55.81870716,59.56989121,194.4969727,168.4052348,135.981182,12,0
03-01-2022 17:00,43.54937736,51.40589129,46.94551348,169.6310879,154.3056203,170.103988,10,0
03-01-2022 18:00,44.73852778,41.81364979,46.76325171,116.8749524,155.7168281,164.8192518,10,0
03-01-2022 19:00,43.35347643,41.0333782,47.79604724,150.7200499,179.5529031,126.134343,8,0
03-01-2022 20:00,59.41774584,59.09273881,44.82328362,156.7117876,139.6345134,172.2126996,8,0
03-01-2022 21:00,50.22349277,55.33765898,41.66964594,168.8398986,169.6241096,188.5705616,12,1
03-01-2022 22:00,44.92545542,53.12908059,48.84662445,111.7910312,128.4810193,146.2458579,10,0
03-01-2022 23:00,44.7721487,50.75504607,59.71736452,119.8774755,187.0664605,186.3054147,10,0
04-01-2022 00:00,48.31679008,45.80300308,49.76832906,140.9834466,166.4483054,178.1955829,10,0
04-01-2022 01:00,41.95296009,54.11003043,52.44583735,168.2352304,136.6436844,104.9658946,8,0
04-01-2022 02:00,58.37383464,48.49693189,52.28824874,132.4843607,172.1942,100.9389083,12,0
04-01-2022 03:00,56.58328943,50.89713142,51.53080591,181.2607898,188.9587394,135.7864248,12,0
04-01-2022 04:00,47.44017015,57.51826513,45.23545274,148.853981,165.2179531,172.126837,10,0
04-01-2022 05:00,48.96667957,49.94107897,45.14618186,142.5003844,115.4069043,169.4616735,10,0
04-01-2022 06:00,56.91557042,47.70574729,50.85171784,145.475927,154.5069163,107.3415301,10,0
04-01-2022 07:00,40.65174882,56.95650383,44.69098768,159.2619287,107.8886039,155.8536685,12,0
04-01-2022 08:00,45.31545414,48.12641493,43.64333377,165.2684521,121.6314166,103.5343212,8,0
04-01-2022 09:00,50.89902092,51.49153406,41.2268319,186.4104331,105.5297139,181.3033715,12,0
04-01-2022 10:00,48.81448257,47.17892104,51.03768372,193.3646121,152.3942643,194.3578137,12,0
04-01-2022 11:00,54.51476556,52.89423811,54.76170322,165.4859561,135.9956248,179.3836002,8,0
04-01-2022 12:00,52.75800689,42.97319783,45.65721913,100.4469674,140.6246087,150.228493,12,0
04-01-2022 13:00,47.84097326,43.80443497,43.67236952,194.1192564,101.583791,180.8556665,8,0
04-01-2022 14:00,46.38692908,54.69544069,57.7546559,154.5352428,157.7055906,147.2857735,10,0
04-01-2022 15:00,45.97555745,44.66234235,41.6549702,133.6833101,160.4751449,155.7283908,12,0
04-01-2022 16:00,59.28633768,49.50286568,45.92356767,131.998113,143.1992299,118.2542909,10,0
04-01-2022 17:00,43.93193294,47.0384624,45.39938658,187.4102464,105.3972478,180.3117835,10,0
04-01-2022 18:00,40.10605217,45.37281207,48.6495666,161.8845603,150.2618693,126.2255677,10,0
04-01-2022 19:00,47.72240224,49.74050148,59.46023321,165.2209779,175.3452817,165.2546445,8,0
04-01-2022 20:00,49.18239547,46.4134273,57.14005852,188.6965766,148.5002088,197.8262072,10,0
04-01-2022 21:00,56.70591712,40.45900608,59.316856,175.7325213,124.1898675,181.8645848,8,0
04-01-2022 22:00,43.29878202,52.49820675,46.29832822,115.1600388,124.4977105,127.3454035,10,0
04-01-2022 23:00,45.148398,48.56117164,50.52366874,132.7309238,152.5594501,146.2588938,8,0
05-01-2022 00:00,58.47913063,44.09452281,41.79405686,102.9375555,109.1368101,194.8866042,10,0
05-01-2022 01:00,47.52999069,46.41441411,51.36571709,153.6366116,121.6265884,100.4238355,12,0
05-01-2022 02:00,48.66198674,41.7560543,40.23741427,125.1863441,136.9464052,122.7260832,10,0
05-01-2022 03:00,48.87478552,48.48835994,54.9297036,105.4766032,108.7107055,196.7582875,10,1
05-01-2022 04:00,41.499454,59.54301802,40.36225374,140.3005256,197.1430728,145.0566925,10,0
05-01-2022 05:00,51.33046803,49.65333606,41.47058552,152.0505895,163.7382322,186.3244474,12,0
05-01-2022 06:00,40.01457443,59.09216761,53.36523998,190.2239168,145.2987033,192.3960441,10,0
05-01-2022 07:00,42.42901043,46.2190401,40.98753897,154.3999128,191.0036155,168.6232119,12,0
05-01-2022 08:00,48.75077651,57.21549394,59.46111062,184.3949447,179.9139677,168.0031428,8,0
05-01-2022 09:00,49.73551677,54.00776653,41.24359341,174.337554,175.9105825,165.8236981,8,0
05-01-2022 10:00,53.07149949,48.99966132,44.34936362,120.1306006,113.7706848,139.6904229,8,0
05-01-2022 11:00,58.02038594,58.59780999,53.90331248,133.3294763,193.2697583,115.5811628,10,0
05-01-2022 12:00,47.72764244,52.29730534,42.69044878,189.8719721,136.9745227,131.6013029,8,0
05-01-2022 13:00,54.42225052,41.06530585,50.76779575,108.2089863,110.0135507,177.2997126,8,1
05-01-2022 14:00,43.36235767,56.78893758,51.53242588,160.4922814,139.8913941,184.642721,12,0
05-01-2022 15:00,59.10424728,45.51056649,46.31218647,131.5519844,165.0103085,133.0628321,10,0
05-01-2022 16:00,40.15338006,44.48576541,44.9264075,115.0272019,140.1494754,101.0213654,10,0
05-01-2022 17:00,45.80816838,44.82349054,48.82507291,152.5659154,156.4546935,197.3013301,12,0
05-01-2022 18:00,56.39345783,48.01877137,47.10214475,137.5099862,163.7528851,134.0990212,12,0
05-01-2022 19:00,57.49260243,43.30177564,41.25818544,119.1084223,142.5648121,112.1153331,10,0
05-01-2022 20:00,40.66212413,58.52349679,56.79721329,138.2918914,188.2091416,130.5566226,10,0
05-01-2022 21:00,44.00875524,56.18558427,59.68082831,107.7219819,136.4557517,129.0684623,10,0
05-01-2022 22:00,40.83296477,52.12968253,55.30767709,125.0002369,121.0934219,112.1508506,10,0
05-01-2022 23:00,49.74170549,56.69719917,52.96871582,160.7449253,164.9211915,190.8879463,10,0
06-01-2022 00:00,57.93757584,50.00058605,40.47065572,188.1690708,148.9290773,152.6258479,8,0
06-01-2022 01:00,40.69246932,45.88251957,57.59352479,135.4985263,101.9480581,175.4132482,12,1
06-01-2022 02:00,58.94805024,42.26833879,40.72499902,198.6323174,127.9141792,120.4393806,12,1
06-01-2022 03:00,49.76234018,43.65960907,57.51700807,199.3449195,189.2875265,167.5256755,8,0
06-01-2022 04:00,48.9767585,53.32362607,58.7341221,195.3964485,103.8740365,101.5033257,8,0
06-01-2022 05:00,51.80545476,53.22590925,46.18557189,100.5635875,119.0082804,113.5636197,10,0
06-01-2022 06:00,57.43510754,50.04370448,42.13790743,134.9341271,131.4519137,160.6198699,8,0
06-01-2022 07:00,40.39029323,54.16971689,44.07242924,105.9532419,119.4783728,195.4251452,8,0
06-01-2022 08:00,50.93132558,53.37043664,45.6608941,115.2426906,122.465645,190.300907,10,0
06-01-2022 09:00,49.44138621,51.66686334,43.40747592,134.6658037,135.0547415,130.3410892,8,1
06-01-2022 10:00,56.05805066,45.19108889,40.36359903,140.6222022,114.381218,105.18228,8,0
06-01-2022 11:00,53.24179093,53.87458788,43.38341921,133.5794094,183.6465052,142.4922541,8,0
06-01-2022 12:00,47.71976773,40.09812431,53.67935679,148.6971322,149.7640978,131.5376748,8,0
06-01-2022 13:00,58.53042511,46.78643551,40.64446841,168.8161749,123.0636842,131.6317312,10,0
06-01-2022 14:00,48.27122663,40.80347029,41.13652893,174.6175079,112.2977948,138.6534229,12,0
06-01-2022 15:00,52.57718296,46.65814721,44.11883845,120.2109443,175.3868757,104.9449655,12,0
